ID individuo;Codigo poblacion;Linaje;V_Largo;V_alto;V_ancho;Peso;Area_branquial;Area de palpos;Densidad de filamentos 
APO1;APO;indeterminado;24,47;21,37;13,29;1,6644;356,392456;32,18366367;22,87295636
APO2;APO;indeterminado;13,08;11,56;8,32;0,4309;104,1261016;17,14780005;26,03377217
APO3;APO;indeterminado;21,56;19;14,21;2,2802;241,6758146;34,8959237;26,85591906
APO4;APO;indeterminado;22,98;21,27;15,21;2,6219;279,2783323;51,99612584;24,39876101
APO5;APO;indeterminado;13,72;11,95;8,7;0,444;107,5398302;10,69852711;24,16608411
APO6;APO;indeterminado;24,77;21,44;11,24;1,9082;292,6762413;36,63678045;27,84717302
APO7;APO;indeterminado;19,67;18,26;12,39;1,3829;228,9782174;16,57543724;25,71828055
APO8;APO;indeterminado;20,92;17,97;13,7;1,712;301,1633479;52,92207047;24,47609551
APO9;APO;indeterminado;14,79;13,13;9,56;0,5743;121,5196927;19,42791896;29,37348638
APO10;APO;indeterminado;13,78;12,29;9,11;0,5343;109,1680764;14,87968144;24,51953394
APO11;APO;indeterminado;14,94;12,93;9,4;0,5863;129,8262767;20,00229493;19,72921903
APO12;APO;indeterminado;13,02;11,42;8,12;0,3927;102,6119182;12,85661444;26,48210981
APO13;APO;indeterminado;11,9;10,45;7,2;0,2823;87,95320138;8,806719415;26,63417935
APO14;APO;indeterminado;12,54;10,97;7,67;0,3351;84,66307676;9,74534358;27,41392475
APO15;APO;indeterminado;13,98;12,28;9,19;0,5202;115,4792865;20,72096286;26,6037887
ASJ1;ASJ;indeterminado;22,12;19,55;13,08;1,9814;247,2135024;29,80676435;25,42741352
ASJ2;ASJ;indeterminado;16,74;14,42;10,15;0,7385;142,2473221;12,52592814;26,37517624
ASJ3;ASJ;indeterminado;20,52;18,4;12,97;1,7961;227,3961484;20,3223208;26,34874613
ASJ4;ASJ;indeterminado;19,4;17,48;12;1,5162;207,1274879;24,61320395;23,50611674
ASJ5;ASJ;indeterminado;19,49;16,79;11,6;1,2263;222,5093348;22,27421304;26,91040735
ASJ6;ASJ;indeterminado;21,33;20,02;13,21;1,8839;256,7205325;25,54381708;26,12603146
ASJ7;ASJ;indeterminado;16,05;14,31;10,02;0,7765;146,6985909;15,75433563;28,5321467
ASJ8;ASJ;indeterminado;20,19;17,49;12,64;1,3467;223,9242868;29,17201727;26,65217272
ASJ9;ASJ;indeterminado;12,7;10,47;7,57;0,2965;92,77138872;9,794519943;21,89680731
ASJ10;ASJ;indeterminado;15,51;13,75;9,46;0,6723;140,0621207;13,4288539;24,33012391
ASJ11;ASJ;indeterminado;17,22;15,33;10,61;0,8918;161,7698716;15,56861766;29,01811797
ASJ12;ASJ;indeterminado;21,1;18,57;13,53;1,8377;238,4849265;21,89847269;27,85327313
ASJ13;ASJ;indeterminado;16,27;14,26;9,8;0,7126;148,9824349;16,19098671;26,73146025
ASJ14;ASJ;indeterminado;21,68;18,78;13,36;1,8365;260,7103575;26,14787388;22,70735512
ASJ15;ASJ;indeterminado;12,99;11,08;7,81;0,34;97,9910772;9,542119816;23,29343176
CAT1;CAT;largillierti;17,38;16,36;11,09;0,8298;136,4095574;29,32097719;35,2107977
CAT2;CAT;largillierti;18,42;17,15;10,73;0,8422;133,7600625;22,36764291;29,21809315
CAT3;CAT;largillierti;20,39;19,45;11,33;0,8611;171,9413207;30,50454987;28,21791223
CAT4;CAT;largillierti;19,48;18,6;11,52;0,9445;151,3164161;31,23339968;35,77034617
CAT5;CAT;largillierti;19,19;18,41;11,61;1,0441;158,1723064;32,11510175;28,33847783
CAT6;CAT;largillierti;17,28;15,81;9,59;0,7084;128,9567152;26,17629298;32,00886798
CAT7;CAT;largillierti;15,12;13,93;8,69;0,4848;97,1844307;23,56431001;33,06574498
CAT8;CAT;largillierti;19,9;18,25;11,12;0,8289;133,758553;32,34057409;32,47443082
CAT9;CAT;largillierti;16,27;15,79;10,33;0,7906;118,6178599;28,06183217;35,01482389
CAT10;CAT;largillierti;17,69;16,98;10,89;0,8499;122,5031704;24,41867344;32,36142786
CAT11;CAT;largillierti;19,7;18,34;11,28;0,9768;159,8833825;29,73452127;30,20218972
CAT12;CAT;largillierti;20;18,52;11,91;1,2001;161,0194218;37,9294463;28,46796598
CAT13;CAT;largillierti;19,12;17,47;10,53;0,7141;149,9204848;37,4396705;29,81977882
CAT14;CAT;largillierti;16,47;16,17;10,81;0,8489;123,8205909;33,79069508;33,25918144
CAT15;CAT;largillierti;17,57;16,58;10,08;0,6852;126,777934;21,97796493;32,41544759
CON1;CON;fluminea;22,98;20,39;14,81;2,723;289,996628;46,78250788;27,26272576
CON2;CON;fluminea;20,43;17,91;12,95;1,8901;231,4438937;39,5338413;23,22881937
CON3;CON;fluminea;21,69;19,12;13,98;2,5228;239,0814867;29,39870416;25,67827905
CON4;CON;fluminea;14,85;12,22;8,85;0,5273;123,8889632;13,30166999;24,91407363
CON5;CON;fluminea;11,71;10,31;7,16;0,3925;80,72914508;14,63584819;21,7059237
CON6;CON;fluminea;22,28;19,8;14,25;2,6311;265,6821822;37,42750258;20,64525444
CON7;CON;fluminea;21,37;18,88;13,75;2,1926;240,8047462;27,2922218;22,89138732
CON16;CON;fluminea;25,86;22,44;15,7;3,8003;315,5400416;47,05170131;23,44103409
CON17;CON;fluminea;25,19;22,82;15,99;3,9381;297,6703103;53,94483891;23,05523547
CON30;CON;fluminea;9,93;8,3;6,13;0,1631;53,93147823;7,987102794;24,6562371
CON28;CON;fluminea;25,08;21,7;15,52;3,4391;277,2107924;37,77457118;23,04019543
CON25;CON;fluminea;23,87;20,92;15,12;2,8318;275,9409118;42,84663569;21,9059262
CON21;CON;fluminea;23,49;20,27;14,2;2,7514;258,746084;47,63383722;19,97968594
CON19;CON;fluminea;23,48;20,46;14,43;2,7065;306,0734569;16,08635456;19,24070659
CON22;CON;fluminea;25,07;21,62;14,94;3,1193;278,5845791;43,47008477;19,30026917
COR1;COR;largillierti;17,1;14,38;9,39;0,5725;119,5370946;14,43629531;24,32642147
COR2;COR;largillierti;14,84;12,99;7,9;0,3653;89,40565695;6,547681425;26,92383191
COR3;COR;largillierti;15,34;12,99;8,13;0,4358;97,08454436;10,53293695;28,59649637
COR4;COR;largillierti;17,28;14,56;9,18;0,6329;126,1741297;15,90006925;32,84006315
COR5;COR;largillierti;17,7;14,57;9,42;0,6217;126,8208837;15,84981509;28,22828346
COR6;COR;largillierti;16,54;13,68;8,8;0,4563;110,6036789;10,13251083;23,94418362
COR7;COR;largillierti;16,6;14,07;8,94;0,5758;117,094993;11,8949227;23,58574595
COR8;COR;largillierti;17,01;13,9;8,91;0,5046;117,8255734;10,48632374;25,77069922
COR9;COR;largillierti;17,92;14,79;9,61;0,6194;138,2125292;13,00011906;25,3904846
COR10;COR;largillierti;16,84;14,59;8,99;0,57;123,2828607;16,148589;25,16675016
COR11;COR;largillierti;17,22;14,61;9,1;0,5875;128,9670411;15,93694441;29,44441032
COR12;COR;largillierti;16,15;13,69;8,82;0,5427;114,0420737;10,7891651;23,58711945
COR13;COR;largillierti;18,17;15,17;9,56;0,649;138,8639835;13,58942815;27,31741526
COR14;COR;largillierti;17,13;14,48;9,06;0,5722;128,0669054;11,67727898;25,81194052
COR15;COR;largillierti;17,17;14,03;9,07;0,552;123,0363233;11,53725444;28,39422764
ESP16;ESP;indeterminado;15,26;12,51;9,04;0,547;93,61615748;11,56896074;23,01593318
ESP17;ESP;indeterminado;16,9;14,01;10,24;0,8658;108,4031972;26,77839466;29,61673984
ESP18;ESP;indeterminado;20,58;17,45;12,47;1,6721;173,5318482;27,65922984;26,33792334
ESP19;ESP;indeterminado;20,71;18,57;12,39;1,7673;152,1470601;29,54103579;24,37208032
ESP20;ESP;indeterminado;16,14;13,59;9,51;0,7957;95,82591264;20,0975838;23,4403787
ESP21;ESP;indeterminado;19,39;16,57;11,2;1,3388;146,4508647;13,52216468;21,06620383
ESP22;ESP;indeterminado;18,75;15,57;10,97;1,1638;127,3644045;20,67339724;23,46532218
ESP23;ESP;indeterminado;15,44;13,42;9,56;0,7952;99,79979386;18,11948767;21,4196226
ESP24;ESP;indeterminado;18,53;15,83;10,74;1,1202;144,9113315;25,78251851;24,20685633
ESP25;ESP;indeterminado;21,93;19,63;12,99;2,2016;182,8599448;39,96745001;23,27555581
ESP26;ESP;indeterminado;16,06;13,15;9,39;0,7413;94,42644332;13,57412018;25,73566362
ESP27;ESP;indeterminado;19,8;16,77;11,56;1,3896;141,8317716;25,86412684;21,96542607
ESP28;ESP;indeterminado;15,77;13,12;9,15;0,6789;90,98668833;17,08889771;26,83348895
ESP29;ESP;indeterminado;22;19,44;12,77;2,0589;140,0057774;48,48173372;23,40406413
ESP01;ESP;indeterminado;23,28;20,52;14,29;2,5928;166,1902199;35,00568547;30,39862019
SRO1;SRO;indeterminado;29,77;25,92;17,24;5,2526;381,4184568;65,48401739;25,00323347
SRO2;SRO;indeterminado;17,98;16,2;11,25;1,3324;165,8114071;20,97175675;26,53060356
SRO3;SRO;indeterminado;15,79;14,33;9,99;0,9711;137,335304;14,42511875;31,91362865
SRO4;SRO;indeterminado;11,33;9,55;7,08;0,2845;69,47893427;8,268302793;25,82525826
SRO5;SRO;indeterminado;23,38;21,39;14,88;3,1332;270,8445129;26,85129452;24,62818008
SRO6;SRO;indeterminado;16,56;14,7;10,26;0,9929;151,1455736;22,88000405;22,52644965
SRO7;SRO;indeterminado;13,92;12,53;8,93;0,6292;107,6639754;9,131279405;27,4309411
SRO8;SRO;indeterminado;18,37;16,01;11,8;1,5282;176,3671269;22,23104085;23,43991683
SRO9;SRO;indeterminado;11,95;10,01;7,44;0,3408;80,98548075;8,972948617;31,46042243
SRO10;SRO;indeterminado;17,85;15,76;11,54;1,4091;160,5848341;17,65057101;23,72206819
SRO11;SRO;indeterminado;25,2;21,91;15,27;3,0555;305,5837915;44,615411;21,10344587
SRO12;SRO;indeterminado;15,1;13,4;9,58;0,8002;126,1987435;14,58019285;20,68513626
SRO13;SRO;indeterminado;17,95;15,98;11,48;1,4065;165,6393389;25,40646877;24,88304356
SRO14;SRO;indeterminado;11,29;9,55;7,29;0,2756;67,82072703;8,083014417;26,06003557
SRO15;SRO;indeterminado;16,8;14,94;10,86;1,1744;151,9737362;15,58431767;25,81243362
RML1;RML;indeterminado;21,22;19,97;12,61;1,4792;186,0001566;36,32347142;22,27244813
RML2;RML;indeterminado;14,22;13,21;8,43;0,5247;83,25663621;18,11241606;27,41163243
RML3;RML;indeterminado;13,86;12,59;8,21;0,4828;81,94904713;14,60293514;24,64790679
RML4;RML;indeterminado;14,01;12,67;8,06;0,4537;82,66860609;17,99288819;24,09091682
RML5;RML;indeterminado;12,26;11,05;7,22;0,3497;61,48905707;10,92347804;26,16481826
RML6;RML;indeterminado;12,94;11,75;7,83;0,3928;62,94916416;11,91931226;26,56822863
RML7;RML;indeterminado;13,22;12,08;7,7;0,3798;68,31494598;13,29624949;20,10064649
RML8;RML;indeterminado;12,08;11,05;7,13;0,3644;71,34841998;12,74806773;28,83456909
RML9;RML;indeterminado;12,54;11,38;7,62;0,3855;68,849808;13,22719917;25,87884968
RML10;RML;indeterminado;11,82;10,77;7,13;0,3277;62,13752929;11,23992626;25,09884476
RML11;RML;indeterminado;11,3;10,57;6,78;0,3;55,90661017;10,82298915;30,52020862
RML12;RML;indeterminado;12,29;11,06;7,38;0,3831;58,15252799;12,19538522;34,3544963
RML13;RML;indeterminado;10,92;10,11;6,54;0,2724;51,93673293;9,546448091;25,35309644
RML14;RML;indeterminado;11,46;10,56;6,31;0,2765;52,60453294;10,75230957;31,81651644
RML15;RML;indeterminado;10,87;9,79;6,23;0,2537;44,6525261;9,129441785;26,24039324
RN1;RN;fluminea;13,46;13;9,91;0,9066;90,28560214;12,24891124;31,76780477
RN2;RN;fluminea;11,71;10,91;8,3;0,5572;67,89250229;7,584706426;23,70297288
RN3;RN;fluminea;13,24;12,81;9,56;0,8849;89,46320863;11,56243778;24,41795894
RN4;RN;fluminea;15,94;14,81;11,53;1,4601;117,0646466;22,25191954;28,01401892
RN5;RN;fluminea;15,75;14,49;11,19;1,2899;124,3733029;30,18353998;24,39452206
RN6;RN;fluminea;13,22;12,79;10,21;0,9118;82,9125935;14,19408528;25,12100641
RN7;RN;fluminea;10,52;9,7;7,69;0,3928;62,12289458;7,47824817;25,45933419
RN8;RN;fluminea;15,61;14,92;11,17;1,4315;120,419511;18,05925831;29,08172255
RN9;RN;fluminea;18,11;17,78;12,85;2,145;165,9795836;35,67381176;20,84161424
RN10;RN;fluminea;15,48;14,18;10,95;1,2134;110,2642681;23,72181988;25,79085499
RN11;RN;fluminea;17,56;16,49;12,56;1,8222;145,7634147;32,26950594;23,75323494
RN12;RN;fluminea;14,52;13,58;10,77;1,1144;108,621515;21,74073668;31,32073233
RN13;RN;fluminea;16,85;16,16;11,98;1,7107;154,3190412;25,92072523;22,47265902
RN14;RN;fluminea;11,98;11,07;8,74;0,6144;62,87222774;9,365089071;28,44072947
RN15;RN;fluminea;16,86;16,32;11,99;1,788;145,8725779;26,48224821;23,42009656
SDE1;SDEi;indeterminado;16,09;17,66;12,42;1,8864;102,9055102;15,15963037;20,39555531
SDE2;SDE;largillierti;17,33;16,6;9,5;0,7771;122,5709936;19,81314301;28,40718533
SDE3;SDE;largillierti;19,02;18,18;11,22;1,0463;178,239031;20,705321;30,74573107
SDE4;SDEi;indeterminado;14,8;14,44;10,05;1,0497;86,14185309;10,96603886;34,662407
SDE5;SDEi;indeterminado;13,81;13,96;9,12;0,8461;80,54338045;11,84627855;30,0791912
SDE7;SDEi;indeterminado;14,48;14,31;9,34;0,9338;82,66770645;15,54923809;29,41369008
SDE8;SDEi;indeterminado;13,38;13,38;8,84;0,7679;86,30748371;21,97940816;24,62751472
SDE12;SDEi;indeterminado;13,62;13,76;9,15;0,8002;75,16273819;14,33490789;31,51370826
SDE23;SDEi;indeterminado;13,98;13,84;9,27;0,8546;71,53198378;11,2377502;33,38144934
SDE24;SDEi;indeterminado;11,56;11,51;7,85;0,5033;49,83544907;10,52796295;38,58033073
SDE25;SDEi;indeterminado;14,1;13,81;9,66;0,886;77,53219348;18,19633121;35,82772529
SDE26;SDE;largillierti;11,31;10,15;6,45;0,1622;56,64586627;8,425476631;35,8772575
SDE27;SDE;largillierti;16,8;15,55;9,62;0,6925;113,7807887;21,56216287;34,02833142
SDE28;SDE;largillierti;18,03;16,56;10,28;0,7824;115,9559272;22,89315329;37,20539568
SDE29;SDEi;indeterminado;9,17;8,8;6,13;0,2357;31,56850406;8,140684875;40,02113686
RJ1;RJ;largillierti;20,53;18,01;10,89;0,9485;141,327654;21,605814;21,58384194
RJ2;RJ;largillierti;20,45;18,81;11,88;1,344;164,626224;22,49275;21,57418361
RJ3;RJ;largillierti;20,23;17,8;11,12;0,9721;163,023789;23,647194;34,02941966
RJ4;RJ;largillierti;20,16;18,19;10,94;1,0007;156,287655;17,97016;30,90867362
RJ5;RJ;largillierti;19,75;17,73;11,3;1,023;168,2027;20,939242;23,50587432
RJ6;RJ;largillierti;19,58;17,63;10,71;0,922;142,847807;20,464102;27,13801356
RJ7;RJ;largillierti;19,36;18,09;10,61;1,0038;145,093256;23,61067;25,95373726
RJ8;RJ;largillierti;18,62;16,83;10,34;0,76;145,777019;19,889666;28,50976601
RJ9;RJ;largillierti;18,41;16,47;10,35;0,7628;129,393884;20,480252;34,52153068
RJ10;RJ;largillierti;18,23;16,55;10,08;0,6613;147,572103;17,108386;32,64367938
RJ11;RJ;largillierti;18,18;17,24;10,55;0,9104;136,67034;18,753998;29,24327429
RJ12;RJ;largillierti;18,05;16,95;10,72;0,9398;130,179241;20,191484;26,07266188
RJ13;RJ;largillierti;17,5;15,5;9,31;0,5615;121,874542;17,583948;26,41048764
RJ14;RJ;largillierti;17,8;16;10,18;0,7158;136,439608;19,896586;30,52416395
RJ15;RJ;largillierti;17,68;16,36;11,01;0,81;135,088863;19,377414;29,22984887
RJ16;RJ;largillierti;17,66;15,79;9,61;0,6382;122,254415;16,197352;28,34422436
RJ17;RJ;largillierti;17,09;15,26;9,36;0,5342;113,690526;16,397344;34,14935949
RJ18;RJ;largillierti;16,82;15,21;9,92;0,6163;108,033879;14,584246;29,78067434
RJ19;RJ;largillierti;16,69;15,56;9,01;0,5133;119,609973;16,48455;25,88952888
RJ20;RJ;largillierti;16,19;14,96;9,52;0,5107;112,306902;16,016668;30,05760891
RJ21;RJ;largillierti;15,95;14,68;8,97;0,464;110,34918;13,378612;33,36971762
RJ22;RJ;largillierti;15,9;14,29;9;0,4535;102,396011;17,593278;29,28693929
RJ23;RJ;largillierti;15,9;14,48;9,26;0,458;97,467997;15,529338;32,90013761
RJ24;RJ;largillierti;15,68;14,58;9,1;0,4959;111,368908;15,668146;28,1517422
RJ25;RJ;largillierti;15,15;13,84;8,59;0,3756;94,762266;14,231828;29,10440957
RJ26;RJ;largillierti;14,62;13,03;7,9;0,3272;88,585438;12,338858;32,68238771
RJ27;RJ;largillierti;14,48;13,17;7,81;0,3134;87,651428;12,50878;29,72581169
RJ28;RJ;largillierti;13,81;12,13;7,83;0,26;76,630607;8,678584;32,33516391
RJ29;RJ;largillierti;11,55;10,3;5,83;0,1296;56,381174;7,866808;27,57833142
